,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
8/30/2017,-122787.5,-118700,-284912.9594,-658801.7503,-158210,-177068.2148,-137880,-152580,-88170,0,0,0,-311100,-309125,0,0,0,0,0,131040,99520,0,0,0,0,-28674.06,-0.000286741,0.695439654
8/31/2017,-123500,-119815,-287412.993,-229991.6037,-157235,-179032.5514,-47230,-52380,-30400,0,0,0,-315487.5,-78568.75,0,0,0,0,0,-131850,99850,0,0,0,0,-6485.03,-6.49E-05,0.695394554
9/1/2017,-123712.5,-119765,287371.6315,-203271.5008,-169540,-178594.1043,-47290,-52750,-30700,0,0,0,-318262.5,-79662.5,0,0,0,0,0,-132660,100900,0,0,0,0,91591.21,0.000915912,0.696031475
9/4/2017,192175,335520,-286540.0974,230733.0195,460940,177451.6952,-138150,-157020,-106200,0,0,0,-263000,-240487.5,0,0,0,0,0,-336270,-248100,0,0,0,0,111578.29,0.001115783,0.696808095
9/5/2017,368962.5,356355,904718.7908,660424.7104,415395,357136.2926,-48660,-106760,118880,0,0,0,-259937.5,235575,0,0,0,0,0,-268120,-252250,0,0,0,0,-6500.88,-6.50E-05,0.696762796
9/6/2017,369825,357300,957789.619,230594.9484,412675,354147.592,-147480,-108400,-120000,0,0,0,-260968.75,232012.5,0,0,0,0,0,-133520,-251775,0,0,0,0,5020.67,5.02E-05,0.696797778
9/7/2017,369975,358200,959648.1185,229493.4708,421225,357768.5569,-147270,-54490,-119240,0,0,0,-261062.5,78187.5,0,0,0,0,0,-134650,-101680,0,0,0,0,-2450.23,-2.45E-05,0.696780705
9/8/2017,123125,118325,335409.0909,-229112.662,144360,177485.1632,-142440,-107560,-115600,0,0,0,-259562.5,75756.25,0,0,0,0,0,134730,-101230,0,0,0,0,-2541.87,-2.54E-05,0.696762994
9/11/2017,-124375,-119650,-281375.8262,233715.3853,-144000,177438.5227,-144210,-53840,-29500,0,0,0,-104775,-231168.75,0,0,0,0,0,-266360,-99880,0,0,0,0,3442.23,3.44E-05,0.696786978
9/12/2017,124800,119930,334600.6173,-234778.9755,-144900,-178179.1776,-48230,-108540,30010,0,0,0,-263312.5,229331.25,0,0,0,0,0,132880,98650,0,0,0,0,-4113.2,-4.11E-05,0.696758318
9/13/2017,124825,120040,335538.5663,237408.4981,144450,178206.1725,-147900,-110320,-91740,0,0,0,-312000,75606.25,0,0,0,0,0,132420,-98320,0,0,0,0,-6725.35,-6.73E-05,0.696711458
9/14/2017,124825,119325,980871.7068,236932.6286,143160,178610.3048,-49890,-55470,-30700,0,0,0,-258531.25,75250,0,0,0,0,0,-132540,-98090,0,0,0,0,-4290.87,-4.29E-05,0.696681563
9/15/2017,124800,119480,957929.9691,-206565.9272,-155155,-178561.7613,49890,-55620,30240,0,0,0,-257031.25,76075,0,0,0,0,0,132130,97180,0,0,0,0,14212.88,0.000142129,0.696780582
9/18/2017,125137.5,119735,-320718.7847,235235.0678,155967.5,150025.0042,-149730,-110960,-94380,0,0,0,-257531.25,-234562.5,0,0,0,0,0,-261380,-240275,0,0,0,0,17414.75,0.000174148,0.696901924
